Case,Request,Goal
Mayday Health v. Jackley,"Declare pursuant to Counts I-II that Defendant’s expressed intent to prosecute
Mayday under SDCL § 37-24 is unconstitutional retaliation because Defendant seeks to punish
Mayday for publishing truthful information of public concern protected by the First Amendment
on its website and in signs publicizing its website;",Declaration that defendant action is unlawful
Mayday Health v. Jackley,"Declare pursuant to Count I that Defendant’s expressed intent to force Mayday to
take down its protected truthful speech on matters of public concern from its website and in signs
publicizing its website is unconstitutional;",Declaration that defendant action is unlawful
Mayday Health v. Jackley,"Declare pursuant to Count II that Defendant’s expressed intent to prevent Mayday
from publishing protected truthful speech on matters of public concern on its website and in signs
publicizing its website in the future is unconstitutional;",Declaration that defendant action is unlawful
Mayday Health v. Jackley,"Preliminarily and permanently enjoin Defendant and his agents, employees, and
all persons acting under his direction or control, pursuant to Count I, from taking any action to
prosecute, fine, or in any way penalize Mayday, including under § SDCL 37-24, for publishing
truthful information of public concern on its website and in signs publicizing its website;",Block defendant action; 
Mayday Health v. Jackley,"Preliminarily and permanently enjoin Defendant and his agents, employees, and
all persons acting under his direction or control, pursuant to Count II, from taking any action to
prosecute, fine, or in any way penalize Mayday, including under § SDCL 37-24, for publishing
truthful information of public concern on its website and in signs publicizing its website;",Block defendant action; 
Electrical Medical Trust et al. v. U.S. Anesthesia Partners Inc. et al.,"An order certifying the action as a class action pursuant to Federal
Rule of Civil Procedure 23, and appointing Plaintiffs as the representatives of the
Class, and appointing their counsel as Class Counsel;",Certify class
Electrical Medical Trust et al. v. U.S. Anesthesia Partners Inc. et al.,"An order declaring that Defendants’ acquisitions were an unlawful
merger of assets in violation of the federal statutes cited herein;",Declaration that defendant actions are unlawful
Electrical Medical Trust et al. v. U.S. Anesthesia Partners Inc. et al.,"An order declaring that Defendants’ price-setting and market
allocation agreements are unlawful restraints of trade, in violation of the federal
statutes cited herein;",Declaration that defendant actions are unlawful
Electrical Medical Trust et al. v. U.S. Anesthesia Partners Inc. et al.,"An injunction enjoining Defendants’ transactions and requiring them
to divest assets sufficient to restore competition for commercially insured hospital-
only anesthesia service in the relevant market to the extent it existed before
Defendants’ scheme;",Block anticompetitive practices;
Electrical Medical Trust et al. v. U.S. Anesthesia Partners Inc. et al.,"Treble damages to members of the Class, for their payments of
inflated hospital-only anesthesia services provided by USAP or its co-conspirators;",Award damages;
Electrical Medical Trust et al. v. U.S. Anesthesia Partners Inc. et al.,"Equitable relief in the form of restitution or disgorgement of all
unlawful or illegal profits received by Defendants as a result of the anticompetitive
conduct alleged herein;",Award restitution
ACA International et al. v. Fulford et al.,"A declaration that HB 23-1126 is expressly preempted by 15 U.S.C.
award the following relief:
2. § 1681t(b)(1)(E);",Declaration that a law is unlawful
ACA International et al. v. Fulford et al.,A declaration that HB 23-1126 is expressly preempted by 15 U.S.C. § 1681c(a)(6);,Declaration that a law is unlawful
ACA International et al. v. Fulford et al.,A declaration that HB 23-1126 is impliedly preempted by the FCRA;,Declaration that a law is unlawful
ACA International et al. v. Fulford et al.,A declaration that HB 23-1126 violates the First Amendment;,Declaration that a law is unlawful
ACA International et al. v. Fulford et al.,An order enjoining Defendant from enforcing HB 23-1126;,Block enforcement of a law
ACA International et al. v. Fulford et al.,"An order enjoining Defendant from enforcing the Uniform Consumer Credit Code,
C.R.S. § 5-6-101 et seq., or the Colorado Fair Debt Collection Practices Act, C.R.S. § 5-16-103 et
seq. concerning any creditor’s receipt of medical debt information or any debt collector’s
statements about medical debt information;",Block enforcement of a law
State of Colorado et al. v. Department of Health and Human Services et al.,"Pursuant to 5 U.S.C. § 706 and 28 U.S.C. § 2202, vacate and set aside the Public Health
Funding Decision and actions taken by Defendants to implement or enforce that decision,
including any terminations;",Block enforcement of an agency action
State of Colorado et al. v. Department of Health and Human Services et al.,"Pursuant to 28 U.S.C. § 2201, issue a judicial declaration that the Public Health Funding
Decision and its implementation, including any terminations, were unlawful acts that
violated the APA;",Declaration that agency action is unlawful
State of Colorado et al. v. Department of Health and Human Services et al.,"Pursuant to 28 U.S.C. §2201, issue a judicial declaration that the Public Health Funding
Decision and its implementation, including any terminations, are unconstitutional;",Declaration that agency action is unlawful
State of Colorado et al. v. Department of Health and Human Services et al.,"Preliminarily and permanently enjoin Defendants from implementing or enforcing the
Public Health Funding Decision or reinstituting that decision for the same or similar
reasons and without required statutory or regulatory process;",Block enforcement of an agency action
State of Colorado et al. v. Department of Health and Human Services et al.,"Preliminarily and permanently enjoin Defendants from implementing or enforcing any
actions taken to implement the Public Health Funding Decision or reinstituting those
actions for the same or similar reasons and without required statutory or regulatory
process;",Block enforcement of an agency action
Bryant v. Stein et al.,"A declaration pursuant to 28 U.S.C. § 2201 that
North Carolina’s restrictions on the provision of
mifepristone are in conflict with and preempted by federal
law;",Declaration that a law is unlawful
Bryant v. Stein et al.,"Injunctive relief enjoining Defendants from
enforcing North Carolina’s restrictions on providing
mifepristone or taking any other action to restrict the
ability of a provider to provide, or a patient to access,
mifepristone in accordance with federal law;",Block enforcement of a law
Association for Accessible Medicines v. Raoul,"For a declaration, pursuant to the Declaratory Judgment Act, 28 U.S.C. § 2201, that
the Act violates the Commerce Clause, the Due Process Clause of the Fourteenth Amendment,
and/or the Constitution’s horizontal separation of powers, and is void and unenforceable;",Declaration that a law is unlawful
Association for Accessible Medicines v. Raoul,"For a preliminary injunction prohibiting Defendant from implementing or
enforcing the Act against AAM’s members, or any of their agents, privies, or licensees, in violation
of the Commerce Clause of the U.S. Constitution, based on any AAM member’s sale of a generic
or other off-patent drug or biosimilar that occurs outside Illinois;",Block enforcement of a law; Declaration that a law is unlawful
Association for Accessible Medicines v. Raoul,"For a permanent injunction prohibiting Defendant from implementing or enforcing
the Act against AAM’s members, or any of their agents, privies, or licensees, in violation of the
Constitution;",Block enforcement of a law; Declaration that a law is unlawful
Novartis Pharmaceuticals Corporation v. Becerra et al.,"Declare that the Program compels speech in violation of the First
Amendment;",Declaration that a law is unlawful
Novartis Pharmaceuticals Corporation v. Becerra et al.,"Declare that the Program’s “excise tax” violates the Excessive Fines
Clause;",Declaration that a law is unlawful
Novartis Pharmaceuticals Corporation v. Becerra et al.,"Declare that the Program effects a taking without providing for just
compensation in violation of the Fifth Amendment",Declaration that a law is unlawful
Novartis Pharmaceuticals Corporation v. Becerra et al.,"Declare void any agreement that Novartis may be unconstitutionally
coerced into entering before this case is adjudicated",Declaration that a law is unlawful
Novartis Pharmaceuticals Corporation v. Becerra et al.,"Enjoin Defendants from forcing Novartis to sign an initial
“manufacturer agreement” or to “agree” to prices set by the Program",Block enforcement of a law
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"declare that 42 U.S.C. § 300gg-13(a)(1)–(4) violate the Appointments
Clause by empowering individuals who have not been appointed in
conformity with the Appointments Clause to unilaterally determine the
preventive care that health insurance must cover;",Declaration that a law is unlawful
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"declare that 42 U.S.C. § 300gg-13(a)(1)–(4) violate Article I of the
Constitution by delegating legislative power to the U.S. Preventive Ser-
vices Task Force, the Advisory Committee on Immunization Practices,
and the Health Resources and Services Administration without provid-
ing an “intelligible principle” to guide the agencies’ discretion",Declaration that a law is unlawful
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"declare that 42 U.S.C. § 300gg-13(a)(1) violates Article II’s vesting
clause by empowering the U.S. Preventive Services Task Force to uni-
laterally determine that preventive care that health insurance must cover
while simultaneously immunizing that agency from the President’s di-
rection, removal, or control",Declaration that a law is unlawful
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"permanently enjoin the defendants from enforcing any coverage man-
date based upon an agency rating, recommendation, or guideline that
issued after March 23, 2010",Block enforcement of an agency action
Braidwood Management Inc. et al. v. Xavier Becerra et al.,"declare that the PrEP mandate violates the Religious Freedom Resto-
ration Act, and permanently enjoin the defendants from enforcing it
against any individual or employer who objects to the coverage of PrEP
drugs for sincere religious reasons",Declaration that agency action is unlawful
State of Washington et al. v. Department of Health and Human Services et al.,"Declare that Defendants’ PREP and SRAE Gender Conditions and actions to
effectuate them are unlawful;",Declaration that agency action is unlawful
State of Washington et al. v. Department of Health and Human Services et al.,"Enter an order pursuant to 5 U.S.C. § 705 staying the PREP Directive pending
judicial review;",Block enforcement of an agency action
State of Washington et al. v. Department of Health and Human Services et al.,"Enter an order pursuant to 5 U.S.C. § 706(2) holding unlawful and vacating the
Defendants’ PREP and SRAE Gender Conditions and Defendants’ actions to effectuate them",Vacate agency action
State of Washington et al. v. Department of Health and Human Services et al.,"Preliminarily and permanently enjoin Defendants from implementing or enforcing
the PREP and SRAE Gender Conditions",Block enforcement of an agency action
State of Washington et al. v. Department of Health and Human Services et al.,"Declare that the PREP and SRAE Gender Conditions and Defendants’ actions to
effectuate them are unconstitutional",Declaration that agency action is unlawful
Estate of Gene B. Lokken et al. v. Unitedhealth Group Inc. et al.,"Awarding actual damages, consequential damages, statutory damages,
exemplary/punitive damages, costs and attorneys’ fees",Award damages
Estate of Gene B. Lokken et al. v. Unitedhealth Group Inc. et al.,Awarding damages for emotional distress,Award damages
Estate of Gene B. Lokken et al. v. Unitedhealth Group Inc. et al.,Awarding disgorgement and/or restitution,Award restitution
Estate of Gene B. Lokken et al. v. Unitedhealth Group Inc. et al.,"Appropriate declaratory and injunctive relief enjoining Defendants from
continuing its improper and unlawful claim handling practices as set forth
herein",Block defendant action
Federal Trade Commission v. U.S. Anesthesia Partners Inc. et al.,"That USAP’s course of conduct violates Section 5(a) of the FTC Act, 15 U.S.C. §
45(a), and Section 7 of the Clayton Act, 15 U.S.C. § 18;",Block anticompetitive practices
Federal Trade Commission v. U.S. Anesthesia Partners Inc. et al.,"That Welsh Carson’s course of conduct violates Section 5(a) of the FTC Act, 15
U.S.C. § 45(a), and Section 7 of the Clayton Act, 15 U.S.C. § 18;",Block anticompetitive practices
Federal Trade Commission v. U.S. Anesthesia Partners Inc. et al.,"That Defendants are permanently enjoined from engaging in similar and related
conduct in the future",Block anticompetitive practices
Do No Harm v. Eddings,"A declaratory judgment that the Arkansas Minority Health Commission Minority
Healthcare Workforce Diversity Scholarship violates the Fourteenth Amendment to
the United States Constitution;",Declaration that a program is unlawful
Do No Harm v. Eddings,"A permanent injunction barring Defendant from selecting student applicants based on
race and from enforcing any and all racially discriminatory eligibility criteria when
awarding the Arkansas Minority Health Commission Minority Healthcare Workforce
Diversity Scholarship",Block operation of a program
Do No Harm v. Eddings,"A preliminary injunction granting the above relief throughout the pendency of this
case and a temporary restraining order preventing Defendant from selecting any schol-
arship recipients until the Court resolves the preliminary injunction",Block operation of a program
Yellowhammer Fund v. Marshall,"Declare that all of the relevant statutes are unconstitutional as applied
to lawful out-of-state abortion care",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that the statutes are unconstitutional as applied to the Plaintiff
and its associates",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that Defendant’s threats described herein violate rights under
the United States Constitution",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that prosecution of abortion funds for assisting Alabama
residents to leave the state to obtain lawful abortions is a violation of
Yellowhammer Fund’s right to travel",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that prosecution of abortion funds for assisting Alabama
residents to leave the state to obtain lawful abortions is a violation of
the right to travel for the pregnant people Yellowhammer Fund serves",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Declare that prosecution of abortion funds for assisting Alabama
residents to leave the state to obtain lawful abortions is a due process
violation and a violation of principles of sovereignty and comity",Declaration that a law is unlawful
Yellowhammer Fund v. Marshall,"Permanently enjoin enforcement of Ala. Code. §§ 13A-2-23, 13A-4-3,
and 13A-4-4 against individuals and organizations, including Plaintiff,
for actions to assist Alabama residents leaving the state to obtain lawful
abortion care",Block enforcement of a law
