Key Text,Issue
arbitrary and capricious,Administrative Procedure Act - Arbitrary and Capricious
arbitrary or capricious,Administrative Procedure Act - Arbitrary and Capricious
706(2)(a),Administrative Procedure Act - Arbitrary and Capricious
§ 706(2)(a),Administrative Procedure Act - Arbitrary and Capricious
contrary to law,Administrative Procedure Act - Contrary to Law
not in accordance with law,Administrative Procedure Act - Contrary to Law
agency action contrary to law,Administrative Procedure Act - Contrary to Law
706(2)(c),Administrative Procedure Act - Contrary to Law
§ 706(2)(c),Administrative Procedure Act - Contrary to Law
in excess of statutory jurisdiction,Administrative Procedure Act - Lack of Statutory Authority
in excess of statutory authority,Administrative Procedure Act - Lack of Statutory Authority
exceeds statutory authority,Administrative Procedure Act - Lack of Statutory Authority
exceed its statutory authority,Administrative Procedure Act - Lack of Statutory Authority
beyond its statutory authority,Administrative Procedure Act - Lack of Statutory Authority
lacks statutory authority,Administrative Procedure Act - Lack of Statutory Authority
lack of statutory authority,Administrative Procedure Act - Lack of Statutory Authority
without statutory authority,Administrative Procedure Act - Lack of Statutory Authority
contrary to constitutional right,Administrative Procedure Act - Contrary to Constitutional Right
contrary to constitutional power,Administrative Procedure Act - Contrary to Constitutional Right
706(2)(b),Administrative Procedure Act - Contrary to Constitutional Right
§ 706(2)(b),Administrative Procedure Act - Contrary to Constitutional Right
without observance of procedure required by law,Administrative Procedure Act - Without Observance of Procedure Required by Law
706(2)(d),Administrative Procedure Act - Without Observance of Procedure Required by Law
§ 706(2)(d),Administrative Procedure Act - Without Observance of Procedure Required by Law
unlawfully withheld,Administrative Procedure Act - Compel Agency Action
unreasonably delayed,Administrative Procedure Act - Compel Agency Action
706(1),Administrative Procedure Act - Compel Agency Action
§ 706(1),Administrative Procedure Act - Compel Agency Action
compel agency action,Administrative Procedure Act - Compel Agency Action
notice and comment,Administrative Procedure Act - Notice and Comment Violation
notice-and-comment,Administrative Procedure Act - Notice and Comment Violation
§ 553,Administrative Procedure Act - Notice and Comment Violation
5 u.s.c. § 553,Administrative Procedure Act - Notice and Comment Violation
appropriations clause,Appropriations Clause
power of the purse,Appropriations Clause
without congressional appropriation,Appropriations Clause
"art. i, § 9",Appropriations Clause
appointments clause,Appointments Clause
art. ii § 2,Appointments Clause
inferior officer,Appointments Clause
principal officer,Appointments Clause
dormant commerce clause,Dormant Commerce Clause
extraterritorial regulation,Dormant Commerce Clause
extraterritorial state regulation,Dormant Commerce Clause
pike balancing,Dormant Commerce Clause
discriminates against interstate commerce,Dormant Commerce Clause
burdens interstate commerce,Dormant Commerce Clause
spending clause,Spending Clause
conditions on federal funds,Spending Clause
south dakota v. dole,Spending Clause
supremacy clause,Supremacy Clause
preempted by federal law,Supremacy Clause
federal preemption,Supremacy Clause
conflict preemption,Supremacy Clause
field preemption,Supremacy Clause
expressly preempted,Supremacy Clause
impliedly preempted,Supremacy Clause
preempts state law,Supremacy Clause
"art. vi, cl. 2",Supremacy Clause
take care clause,Take Care Clause
faithfully executed,Take Care Clause
contracts clause,Contracts Clause
impairment of contract,Contracts Clause
obligation of contracts,Contracts Clause
fourteenth amendment due process,Fourteenth Amendment - Due Process Clause
due process clause of the fourteenth,Fourteenth Amendment - Due Process Clause
substantive due process,Fourteenth Amendment - Due Process Clause
procedural due process,Fourteenth Amendment - Due Process Clause
due process under the fourteenth amendment,Fourteenth Amendment - Due Process Clause
equal protection clause,Fourteenth Amendment - Equal Protection Clause
equal protection,Fourteenth Amendment - Equal Protection Clause
fourteenth amendment equal protection,Fourteenth Amendment - Equal Protection Clause
separation of powers,Separation of Powers
horizontal separation of powers,Separation of Powers
free exercise clause,First Amendment - Free Exercise Clause
free exercise of religion,First Amendment - Free Exercise Clause
free exercise,First Amendment - Free Exercise Clause
free speech clause,First Amendment - Free Speech Clause
freedom of speech,First Amendment - Free Speech Clause
compelled speech,First Amendment - Free Speech Clause
prior restraint,First Amendment - Free Speech Clause
seventh amendment,Seventh Amendment - Right to Jury Trial
right to jury trial,Seventh Amendment - Right to Jury Trial
excessive fines clause,Eighth Amendment - Excessive Fines Clause
excessive fines,Eighth Amendment - Excessive Fines Clause
bill of attainder,Bill of Attainder
tenth amendment,Tenth Amendment
reserved to the states,Tenth Amendment
eleventh amendment,Eleventh Amendment
state sovereign immunity,Eleventh Amendment
fifth amendment due process,Fifth Amendment - Due Process Clause
due process clause of the fifth,Fifth Amendment - Due Process Clause
due process under the fifth amendment,Fifth Amendment - Due Process Clause
takings clause,Fifth Amendment - Takings Clause
just compensation,Fifth Amendment - Takings Clause
regulatory taking,Fifth Amendment - Takings Clause
fifth amendment taking,Fifth Amendment - Takings Clause
fifth amendment equal protection,Fifth Amendment - Equal Protection Clause
equal protection component of the fifth,Fifth Amendment - Equal Protection Clause
overbreadth doctrine,First Amendment - Overbreadth Doctrine
facial overbreadth,First Amendment - Overbreadth Doctrine
overbreadth,First Amendment - Overbreadth Doctrine
ultra vires,Ultra Vires
nondelegation doctrine,Nondelegation Doctrine
nondelegation,Nondelegation Doctrine
non-delegation,Nondelegation Doctrine
intelligible principle,Nondelegation Doctrine
major questions doctrine,Major Questions Doctrine
major questions,Major Questions Doctrine
vast economic and political significance,Major Questions Doctrine
aiding and abetting,Aiding and Abetting Fraud
negligence,Negligence
negligent misrepresentation,Negligence
breach of fiduciary duty,Breach of Fiduciary Duty
fiduciary obligations,Breach of Fiduciary Duty
tortious inducement,Tortious Inducement of Refusal to Deal
refusal to deal,Tortious Inducement of Refusal to Deal
civil rights act of 1866,Civil Rights Act of 1866
42 u.s.c. § 1981,Civil Rights Act of 1866
§ 1981,Civil Rights Act of 1866
civil rights act of 1964,Civil Rights Act of 1964
title vii,Civil Rights Act of 1964
title vi,Civil Rights Act of 1964
42 u.s.c. § 2000,Civil Rights Act of 1964
section 1557,Affordable Care Act Section 1557
§ 1557,Affordable Care Act Section 1557
erisa prohibited transaction,ERISA - Prohibited Transactions
prohibited transaction,ERISA - Prohibited Transactions
29 u.s.c. § 1106,ERISA - Prohibited Transactions
erisa § 406,ERISA - Prohibited Transactions
clayton act,Clayton Act
15 u.s.c. § 18,Clayton Act
section 7 of the clayton,Clayton Act
section seven of the clayton,Clayton Act
section 2 of the clayton,Clayton Act
section two of the clayton,Clayton Act
erisa disclosure,ERISA - Breach of Duty of Disclosure and Reporting
erisa reporting,ERISA - Breach of Duty of Disclosure and Reporting
duty of disclosure,ERISA - Breach of Duty of Disclosure and Reporting
summary plan description,ERISA - Breach of Duty of Disclosure and Reporting
29 u.s.c. § 1021,ERISA - Breach of Duty of Disclosure and Reporting
29 u.s.c. § 1024,ERISA - Breach of Duty of Disclosure and Reporting
copyright infringement,Copyright Infringement
17 u.s.c.,Copyright Infringement
religious freedom restoration act,Religious Freedom Restoration Act (RFRA)
rfra,Religious Freedom Restoration Act (RFRA)
42 u.s.c. § 2000bb,Religious Freedom Restoration Act (RFRA)
racketeer influenced,"Racketeer Influenced and Corrupt Organizations (""RICO"") Act"
rico,"Racketeer Influenced and Corrupt Organizations (""RICO"") Act"
18 u.s.c. § 1962,"Racketeer Influenced and Corrupt Organizations (""RICO"") Act"
racketeering,"Racketeer Influenced and Corrupt Organizations (""RICO"") Act"
erisa breach of fiduciary,ERISA – Breach of Fiduciary Duty
erisa fiduciary duty,ERISA – Breach of Fiduciary Duty
erisa fiduciary,ERISA – Breach of Fiduciary Duty
29 u.s.c. § 1109,ERISA – Breach of Fiduciary Duty
erisa § 404,ERISA – Breach of Fiduciary Duty
sherman act,Sherman Act
section 1 of the sherman,Sherman Act
section one of the sherman,Sherman Act
section 2 of the sherman,Sherman Act
section two of the sherman,Sherman Act
monopolization,Sherman Act
restraint of trade,Sherman Act
ftc act,Federal Trade Commission Act
federal trade commission act,Federal Trade Commission Act
15 u.s.c. § 45,Federal Trade Commission Act
section 5(a) of the ftc,Federal Trade Commission Act
i.r.c. §,Internal Revenue Code - Section [Section Number]
26 u.s.c. §,Internal Revenue Code - Section [Section Number]
no surprises act,No Surprises Act
surprise billing,No Surprises Act
independent dispute resolution,No Surprises Act
breach of contract,Breach of Contract
breach of the contract,Breach of Contract
breach of contractual,Breach of Contract
breach of the insurance policy,Breach of Contract
breach of the policy,Breach of Contract
good faith and fair dealing,Breach of Good Faith and Fair Dealing
implied covenant of good faith,Breach of Good Faith and Fair Dealing
covenant of good faith and fair dealing,Breach of Good Faith and Fair Dealing
unjust enrichment,Unjust Enrichment
unjustly enriched,Unjust Enrichment
quantum meruit,Unjust Enrichment
insurance bad faith,Insurance Bad Faith
bad faith,Insurance Bad Faith
bad-faith,Insurance Bad Faith
bad faith denial,Insurance Bad Faith
bad faith handling,Insurance Bad Faith
first-party bad faith,Insurance Bad Faith
executive vesting clause,Executive Vesting Clause
article ii vesting,Executive Vesting Clause
vesting clause of article ii,Executive Vesting Clause
executive power is vested,Executive Vesting Clause
"art. ii, § 1",Executive Vesting Clause
right to travel,Right to Travel
right of travel,Right to Travel
interstate travel,Right to Travel
right to travel between states,Right to Travel
false claims act,False Claims Act
31 u.s.c. § 3729,False Claims Act
31 u.s.c. 3729,False Claims Act
31:3729,False Claims Act
qui tam,False Claims Act